,Date,Chaine,Part_de_marche,Jour,Heure_prgm1,Titre_prgm1,Type_prgm1,Duree_prgm1,Nbre_episodes_prgm1,Age_conseille_prgm1,Heure_prgm2,Titre_prgm2,Type_prgm2,Duree_prgm2,Nbre_episodes_prgm2,Age_conseille_prgm2
57,13 octobre 2014,Arte,3.1,lundi,20.51,Les loups blancs,Film,99 mn,NA,NA,22.30,Jo Limonade,Film,100 mn,NA,NA
58,13 octobre 2014,C8,3,lundi,20.50,Wanted : choisis ton destin,Film,125 mn,NA,-10 ans,22.55,Game of Thrones,Serie TV,120 mn,2 ,-10 ans
59,13 octobre 2014,NRJ 12,3,lundi,20.50,Crimes en Aquitaine,Magazine,105 mn,NA,-10 ans,22.35,Crimes à Thionville,Magazine,105 mn,NA,-10 ans
60,13 octobre 2014,TFX,2.7,lundi,20.50,Super Nanny,Divertissement,210 mn,2 ,NA,00.25,Obèses : perte de poids extrême,Telerealitee,95 mn,NA,NA
61,13 octobre 2014,France 5,1.9,lundi,20.40,Une femme dans la Révolution,Telefilm,120 mn,NA,-10 ans,22.40,C dans l'air,Magazine,65 mn,NA,NA
62,13 octobre 2014,C Star,1.6,lundi,20.50,Commissaire Moulin,Serie TV,210 mn,2 ,-12 ans,00.20,Programmes de nuit,Magazine,400 mn,NA,NA
63,13 octobre 2014,France 4,1.4,lundi,20.45,On n'est plus des pigeons !,Magazine,160 mn,2 ,NA,23.25,Beijing Calling - Les rockeurs de l'empire du Milieu,Magazine,55 mn,NA,-10 ans
64,13 octobre 2014,6ter,1,lundi,19.40,Buffy contre les vampires,Serie TV,70 mn,NA,-10 ans,20.50,Kaamelott,Serie TV,290 mn,NA,NA
65,13 octobre 2014,Gulli,0.6,lundi,20.45,C'est ma première rentrée d'élève !,Documentaire,85 mn,NA,NA,22.10,C'est ma première rentrée de prof !,Documentaire,80 mn,NA,NA
66,13 octobre 2014,RMC Story,0.5,lundi,20.40,Révélations,Magazine,200 mn,3 ,-12 ans,NA,Révélations,Magazine,NA,3 ,NA
67,13 octobre 2014,RMC Decouverte,0.5,lundi,20.45,Mégastructures,Documentaire,60 mn,NA,NA,23.35,Megafactories,Documentaire,50 mn,NA,NA
68,14 octobre 2014,TF1,33.6,mardi,20.55,Mentalist,Serie TV,100 mn,3 ,-10 ans,23.35,Baby Boom,Telerealitee,150 mn,2 ,NA
